Ward Name ,Person,Position,Year,Current Council,Phone,Fax
Winnipeg,Brian Bowman,Mayor,2014,FALSE,204-986-5665,204-949-0566
Winnipeg,Brian Bowman,Mayor,2018,FALSE,204-986-5665,204-949-0566
Winnipeg,Scott Gillingham,Mayor,2022,TRUE,204-986-5665,204-949-0566
St. Vital,Brian Mayes,Councillor,2014,FALSE,204-986-5088,204-986-3725
Charleswood - Tuxedo,Marty Morantz,Councillor,2014,FALSE,204-986-5232,204-986-3725
Old Kildonan,Devi Sharma,Councillor,2018,FALSE,204-986-5264,204-986-7806
North Kildonan,Jeff Browaty,Councillor,2014,FALSE,204-986-5196,204-986-3725
St. Norbert - Seine River,Markus Chambers,Councillor,2022,TRUE,204-986-5920,204-986-3725
Point Douglas,Mike Pagtakhan,Councillor,2014,FALSE,204-986-8401,204-986-3725
Charleswood - Tuxedo,Evan Duncan,Councillor,2022,TRUE,204-986-5232,204-986-3725
Transcona,Russ Wyatt,Councillor,2014,FALSE,204-986-8087,204-986-8549
Waverley West,Janice Lukes,Councillor,2022,TRUE,204-986-6824,204-986-3725
River Heights - Fort Garry,John Orlikow,Councillor,2018,FALSE,204-986-5236,204-986-3725
River Heights - Fort Garry,John Orlikow,Councillor,2014,FALSE,204-986-5236,204-986-3725
Mynarski,Ross Eadie,Councillor,2018,FALSE,204-986-5188,204-986-3726
St. James,Shawn Dobson,Councillor,2022,TRUE,204-986-5848,204-986-3725
St. Boniface,Matt Allard,Councillor,2022,TRUE,,204-986-3725
Mynarski,Ross Eadie,Councillor,2022,TRUE,204-986-5188,204-986-3726
Charleswood - Tuxedo,Kevin Klein,Councillor,2018,FALSE,204-986-5232,204-986-3725
Old Kildonan,Devi Sharma,Councillor,2022,TRUE,204-986-5264,204-986-7806
St. Boniface,Matt Allard,Councillor,2018,FALSE,,204-986-3725
Elmwood - East Kildonan,Jason Schreyer,Councillor,2014,FALSE,204-986-5195,204-986-3725
St. Norbert - Seine River,Markus Chambers,Councillor,2018,FALSE,204-986-5920,204-986-3725
North Kildonan,Jeff Browaty,Councillor,2018,FALSE,204-986-5196,204-986-3725
Elmwood - East Kildonan,Jason Schreyer,Councillor,2018,FALSE,204-986-5195,204-986-3725
Elmwood - East Kildonan,Jason Schreyer,Councillor,2022,TRUE,204-986-5195,204-986-3725
St. Boniface,Matt Allard,Councillor,2014,FALSE,204-396-4636,204-986-3725
Transcona,Russ Wyatt,Councillor,2022,TRUE,204-986-8087,204-986-3725
Point Douglas,Vivian Santos,Councillor,2018,FALSE,204-986-8401,204-986-3725
Daniel McIntyre,Cindy Gilroy,Councillor,2018,FALSE,204-986-5951,204-986-3725
St. Vital,Brian Mayes,Councillor,2022,TRUE,204-986-5088,204-986-3725
North Kildonan,Jeff Browaty,Councillor,2022,TRUE,204-986-5196,204-986-3725
Fort Rouge - East Fort Garry,Sherri Rollins,Councillor,2022,TRUE,204-986-5878,204-986-3725
St. James,Scott Gillingham,Councillor,2018,FALSE,204-986-5848,204-986-3725
Transcona,Shawn Nason,Councillor,2018,FALSE,204-986-8087,204-986-3725
St. Vital,Brian Mayes,Councillor,2018,FALSE,204-986-5088,204-986-3725
Old Kildonan,Devi Sharma,Councillor,2014,FALSE,204-986-5264,204-986-7806
St. James,Scott Gillingham,Councillor,2014,FALSE,204-986-5848,204-986-4320
Daniel McIntyre,Cindy Gilroy,Councillor,2014,FALSE,204-986-5951,204-986-3725
Point Douglas,Vivian Santos,Councillor,2022,TRUE,204-986-8401,204-986-3725
Fort Rouge - East Fort Garry,Sherri Rollins,Councillor,2018,FALSE,204-986-5878,204-986-3725
Daniel McIntyre,Cindy Gilroy,Councillor,2022,TRUE,204-986-5951,204-986-3725
River Heights - Fort Garry,John Orlikow,Councillor,2022,TRUE,204-986-5236,204-986-3725
Fort Rouge - East Fort Garry,Jenny Gerbasi,Councillor,2014,FALSE,204-986-5878,204-986-5636
Waverley West,Janice Lukes,Councillor,2018,FALSE,204-986-6824,204-986-3725
South Winnipeg - St. Norbert,Janice Lukes,Councillor,2014,FALSE,204-986-6824,204-986-3725
Mynarski,Ross Eadie,Councillor,2014,FALSE,204-986-5188,204-986-3726
